NO.,hostile_offline,hostile_online,aggression
1,0,0,0.424242424242424
2,0,0,0.263888888888889
3,0.583333333333333,0.583333333333333,0.694444444444445
4,0,0,0.347222222222222
5,0,0,0.291666666666667
6,0,0,0.319444444444444
7,0,0,0.0555555555555555
8,0,0,0.513888888888889
9,0.0833333333333333,0.111111111111111,0.727272727272727
10,0.0416666666666667,0,0.125
11,0.0833333333333333,0,0.222222222222222
12,0,0,0.196969696969697
13,0,0,0.378787878787879
14,0,0,0.486111111111111
15,0,0,0.694444444444445
16,0.0416666666666667,0,0.138888888888889
17,0,0,0.181818181818182
18,0,0,0.347222222222222
19,0.583333333333333,0.666666666666667,0.694444444444445
20,0,0,0.287878787878788
21,0,0,0.569444444444445
22,0,0,0.208333333333333
23,0,0,0.180555555555556
24,0,0,0.208333333333333
25,0,0,0.263888888888889
26,0,0,0.409090909090909
27,0,0,0.375
28,0.0416666666666667,0,0.296296296296296
29,0,0,0.180555555555556
30,0.0416666666666667,0,0.527777777777778
31,0,0.0555555555555555,0.347222222222222
32,0,0,0.375
33,0,0,0.305555555555556
34,0,0,0.277777777777778
35,0,0,0.305555555555556
36,0,0,0.236111111111111
37,0,0,0.194444444444444
38,0,0,0.194444444444444
39,0.0833333333333333,0,0.484848484848485
40,0,0,0.236111111111111
41,0.0833333333333333,0.0277777777777778,0.277777777777778
42,0.0833333333333333,0,0.236111111111111
43,0,0,0.277777777777778
44,0,0,0.111111111111111
45,1,1,0.930555555555555
46,0.708333333333333,0.611111111111111,0.736111111111111
47,0,0,0.319444444444444
48,0,0,0.611111111111111
49,0.125,0.0277777777777778,0.45
50,0.541666666666667,0.5,0.444444444444444
51,0.166666666666667,0,0.263888888888889
52,0,0,0.333333333333333
53,0,0,0.319444444444444
54,0,0,0.319444444444444
55,0,0,0.111111111111111
56,0,0,0.291666666666667
57,0.541666666666667,0.555555555555555,0.566666666666667
58,0,0,0.166666666666667
59,0,0,0.416666666666667
60,0.125,0,0.597222222222222
61,0.125,0.111111111111111,0.236111111111111
62,0,0,0.111111111111111
63,0,0,0.45
64,0.0833333333333333,0,0.638888888888889
65,0,0,0.305555555555556
66,0,0,0.305555555555556
67,0.0416666666666667,0.125,0.486111111111111
68,0,0,0.361111111111111
69,0.0555555555555555,0.0333333333333333,0.305555555555556
70,0.208333333333333,0.111111111111111,0.303030303030303
71,0,0,0.222222222222222
72,0,0,0.696969696969697
73,0.0833333333333333,0.0277777777777778,0.444444444444444
74,0.0416666666666667,0.0555555555555555,0.486111111111111
75,0,0,0.257575757575758
76,0,0,0.569444444444445
77,0,0,0.194444444444444
78,0,0,0.402777777777778
79,0,0,0.180555555555556
80,0,0,0.208333333333333
81,0.75,0.75,0.555555555555555
82,0,0,0.333333333333333
83,0,0,0.319444444444444
84,0,0,0.333333333333333
85,0,0,0.111111111111111
86,0,0,0.227272727272727
87,0,0,0.430555555555556
88,0,0,0.361111111111111
89,0,0.0833333333333333,0.361111111111111
90,0,0,0.212121212121212
